状态,源文件,类型,源文件字节,当前构建归属字节,构建分包,判定说明
疑似未用-当前已打包,assets/Images/表情/3/xiyuetiao_ske.json,data,17229,18538,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/4/fennu_ske.json,data,14740,16497,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情声音/3.mp3,audio,15882,15997,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/7/liubixue_ske.json,data,13608,15646,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/6/wulian_ske.json,data,12310,14082,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/1/OK_ske.json,data,11680,13356,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情声音/8.mp3,audio,9545,9660,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/2/gouyin_ske.json,data,8246,9608,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/5/wabikong_ske.json,data,7864,9344,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/9/bishi_ske.json,data,7842,9083,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/8/dianzan_ske.json,data,6897,7988,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/10/feiwen_ske.json,data,6602,7864,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/4_dushen/4_dushen_tex.json,data,3375,4189,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/Prefabs/伙伴红利分配对象.prefab,prefab,22598,2718,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/Prefabs/战绩红利对象.prefab,prefab,19555,2317,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/7_baidingwang/7_baidingwang_tex.json,data,1592,2107,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/3_fennu/3_fennu_tex.json,data,1342,1791,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/2_gouyin/2_gouyin_tex.json,data,1335,1785,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/Prefabs/活动详细记录对象.prefab,prefab,14344,1783,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/Prefabs/奖池收益对象.prefab,prefab,11752,1706,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/6_niupigu/6_niupigu_tex.json,data,1184,1599,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/Prefabs/奖池提取记录对象.prefab,prefab,10463,1574,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/Prefabs/伙伴对象.prefab,prefab,10557,1544,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/Prefabs/奖励详细记录对象.prefab,prefab,8584,1433,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/Prefabs/道具对象2.prefab,prefab,4076,1401,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/7/liubixue_tex.json,data,1012,1390,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/9_sanyan/9_sanyan_tex.json,data,899,1253,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/Prefabs/handbig.prefab,prefab,8517,1223,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/5/wabikong_tex.json,data,862,1204,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/6/wulian_tex.json,data,850,1190,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/2/gouyin_tex.json,data,837,1177,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/1/OK_tex.json,data,834,1170,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/10_xiyue/10_xiyue_tex.json,data,792,1122,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/1_bishi/1_bishi_tex.json,data,792,1121,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/5_wulian/5_wulian_tex.json,data,786,1116,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/4/fennu_tex.json,data,785,1112,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/8_anzhongguancha/8_anzhongguancha_tex.json,data,753,1079,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
