状态,源文件,类型,源文件字节,当前构建归属字节,构建分包,判定说明
动态保留,assets/resources/Prefabs/InputBK.prefab,prefab,8433,1608,resources,UUID 引用自 assets/Scenes/drh8.fire；UUID 引用自 assets/Scenes/login.fire；动态 prefab 名 InputBK，来自 assets/scripts/logic/InputManager.ts
动态保留,assets/resources/道具/钓鱼1.anim,animation,3149,1531,resources,动态字面量 道具/钓鱼1，来自 assets/scripts/logic/DaojuManager.ts；道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/抓鸡2.anim,animation,3147,1529,resources,道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/Prefabs/银行对象.prefab,prefab,7985,1452,resources,动态字面量 Prefabs/银行对象，来自 assets/scripts/UI/panelQianBao.ts
动态保留,assets/resources/Prefabs/观战对象.prefab,prefab,7554,1415,resources,UUID 引用自 assets/Scenes/drh8.fire；UUID 引用自 assets/resources/UI/panelGameView.prefab；动态 prefab 名 观战对象，来自 assets/scripts/UI/panelGameView.ts
动态保留,assets/resources/Prefabs/文字牌谱对象2.prefab,prefab,9114,1373,resources,动态字面量 Prefabs/文字牌谱对象2，来自 assets/scripts/UI/panelRecordInfo.ts
动态保留,assets/resources/Prefabs/文字牌谱对象.prefab,prefab,9109,1367,resources,动态字面量 Prefabs/文字牌谱对象，来自 assets/scripts/UI/panelGameView.ts
动态保留,assets/resources/道具/大拇指2.anim,animation,2729,1289,resources,道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/亲嘴2.anim,animation,2726,1286,resources,道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/机枪3.anim,animation,2471,1225,resources,动态字面量 道具/机枪3，来自 assets/scripts/logic/DaojuManager.ts；道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/机枪1.anim,animation,2471,1225,resources,动态字面量 道具/机枪1，来自 assets/scripts/logic/DaojuManager.ts；道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/Prefabs/带入记录.prefab,prefab,7959,1224,resources,动态字面量 Prefabs/带入记录，来自 assets/scripts/UI/panelGameView.ts
动态保留,assets/resources/道具/机枪2.anim,animation,2473,1149,resources,动态字面量 道具/机枪2，来自 assets/scripts/logic/DaojuManager.ts；道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
